TicketID,CreatedAt,ClosedAt,Priority,Type,Status,Region,Channel,SLA_Target_Hours,Resolution_Hours,SLA_Met
859,2024-08-04,2024-08-05 23:00:00,High,Change,Resolved,Andina,Partners,24,47.0,0
860,2024-11-02,2024-11-02 01:00:00,Medium,Request,Closed,Orinoquía,Ecommerce,48,1.0,1
861,2024-04-23,2024-04-27 23:00:00,Low,Request,In Progress,Pacífico,Partners,72,119.0,0
862,2025-04-05,2025-04-05 10:00:00,High,Incident,Open,Amazonía,Retail,24,10.0,1
863,2025-02-05,2025-02-07 01:00:00,Medium,Incident,Resolved,Amazonía,Ecommerce,48,49.0,0
864,2024-09-22,2024-09-27 15:00:00,High,Request,Closed,Amazonía,Ecommerce,24,135.0,0
865,2024-09-15,2024-09-19 15:00:00,Medium,Incident,Closed,Andina,Partners,48,111.0,0
866,2024-02-17,2024-02-19 10:00:00,Low,Request,Resolved,Andina,Retail,72,58.0,1
867,2024-05-07,2024-05-13 19:00:00,Low,Incident,Resolved,Orinoquía,Ecommerce,72,163.0,0
868,2024-11-07,2024-11-14 03:00:00,Low,Request,Resolved,Caribe,Retail,72,171.0,0
869,2025-04-02,2025-04-02 06:00:00,Critical,Incident,In Progress,Orinoquía,Retail,24,6.0,1
870,2025-04-07,2025-04-10 16:00:00,Medium,Request,Resolved,Andina,Partners,48,88.0,0
871,2025-06-24,2025-06-26 05:00:00,High,Incident,Closed,Amazonía,Ecommerce,24,53.0,0
872,2024-10-11,2024-10-15 10:00:00,Medium,Incident,Resolved,Amazonía,Partners,48,106.0,0
873,2024-06-14,2024-06-16 20:00:00,Low,Incident,Closed,Andina,Ecommerce,72,68.0,1
874,2024-07-04,2024-07-10 09:00:00,Medium,Incident,Closed,Caribe,Partners,48,153.0,0
875,2024-12-12,2024-12-16 12:00:00,Medium,Incident,Open,Caribe,Retail,48,108.0,0
876,2024-07-27,2024-07-29 17:00:00,Low,Incident,In Progress,Pacífico,Ecommerce,72,65.0,1
877,2024-04-17,2024-04-22 17:00:00,High,Request,Closed,Andina,Retail,24,137.0,0
878,2025-02-14,2025-02-19 12:00:00,Medium,Incident,Closed,Orinoquía,Retail,48,132.0,0
879,2025-05-15,2025-05-15 03:00:00,Medium,Request,Resolved,Caribe,Partners,48,3.0,1
880,2025-05-10,2025-05-18 06:00:00,Low,Incident,Closed,Caribe,Partners,72,198.0,0
881,2024-02-03,2024-02-03 10:00:00,Medium,Incident,Closed,Andina,Partners,48,10.0,1
882,2024-04-01,2024-04-04 10:00:00,Low,Incident,Resolved,Amazonía,Retail,72,82.0,0
883,2024-03-15,2024-03-18 04:00:00,Low,Incident,Resolved,Andina,Ecommerce,72,76.0,0
884,2025-03-18,2025-03-21 00:00:00,Low,Incident,Closed,Andina,Partners,72,72.0,1
885,2024-02-02,2024-02-09 23:00:00,Medium,Request,Resolved,Andina,Ecommerce,48,191.0,0
886,2025-05-21,2025-05-24 22:00:00,Low,Request,Resolved,Caribe,Partners,72,94.0,0
887,2025-08-18,2025-08-20 12:00:00,Low,Incident,Closed,Pacífico,Ecommerce,72,60.0,1
888,2024-12-03,2024-12-03 15:00:00,Low,Request,Resolved,Amazonía,Partners,72,15.0,1
889,2025-04-01,2025-04-08 21:00:00,Medium,Incident,Closed,Caribe,Ecommerce,48,189.0,0
890,2024-04-12,2024-04-17 12:00:00,High,Incident,Resolved,Andina,Ecommerce,24,132.0,0
891,2025-08-05,2025-08-11 17:00:00,Medium,Incident,Resolved,Amazonía,Retail,48,161.0,0
892,2024-12-10,2024-12-17 10:00:00,Medium,Request,Closed,Andina,Partners,48,178.0,0
893,2024-05-03,2024-05-04 17:00:00,Medium,Request,Closed,Amazonía,Retail,48,41.0,1
894,2024-10-12,2024-10-18 09:00:00,Low,Incident,Resolved,Pacífico,Partners,72,153.0,0
895,2024-04-21,2024-04-25 02:00:00,Medium,Incident,Closed,Amazonía,Ecommerce,48,98.0,0
896,2024-02-16,2024-02-21 21:00:00,Low,Change,Closed,Andina,Retail,72,141.0,0
897,2025-01-10,2025-01-15 03:00:00,Medium,Request,Closed,Andina,Ecommerce,48,123.0,0
898,2024-08-23,2024-08-24 08:00:00,Critical,Change,Resolved,Pacífico,Retail,24,32.0,0
899,2024-09-05,2024-09-05 11:00:00,Medium,Incident,Resolved,Amazonía,Retail,48,11.0,1
900,2024-10-03,2024-10-04 22:00:00,Medium,Incident,Resolved,Caribe,Ecommerce,48,46.0,1
901,2024-03-04,2024-03-07 08:00:00,Low,Incident,Resolved,Amazonía,Partners,72,80.0,0
902,2025-05-18,2025-05-24 20:00:00,Medium,Request,Closed,Pacífico,Partners,48,164.0,0
903,2025-07-12,2025-07-13 17:00:00,High,Incident,Closed,Caribe,Partners,24,41.0,0
904,2024-10-31,2024-11-02 14:00:00,Low,Incident,Closed,Andina,Retail,72,62.0,1
905,2024-04-27,2024-05-02 06:00:00,High,Request,Resolved,Andina,Retail,24,126.0,0
906,2025-04-17,2025-04-18 20:00:00,Low,Request,In Progress,Amazonía,Partners,72,44.0,1
907,2024-03-18,2024-03-19 20:00:00,Medium,Incident,Closed,Pacífico,Partners,48,44.0,1
908,2024-10-21,2024-10-26 12:00:00,Low,Incident,In Progress,Caribe,Retail,72,132.0,0
909,2024-01-12,2024-01-14 20:00:00,High,Incident,In Progress,Orinoquía,Partners,24,68.0,0
910,2024-08-02,2024-08-03 10:00:00,Low,Change,Closed,Orinoquía,Retail,72,34.0,1
911,2025-03-21,2025-03-28 13:00:00,Low,Request,Resolved,Caribe,Partners,72,181.0,0
912,2024-11-13,2024-11-13 21:00:00,Low,Incident,Resolved,Orinoquía,Ecommerce,72,21.0,1
913,2025-02-16,2025-02-21 16:00:00,Medium,Incident,Closed,Caribe,Ecommerce,48,136.0,0
914,2024-12-25,2024-12-27 12:00:00,Low,Incident,Resolved,Orinoquía,Partners,72,60.0,1
915,2025-06-13,2025-06-14 12:00:00,Medium,Request,Closed,Pacífico,Partners,48,36.0,1
916,2025-04-13,2025-04-20 02:00:00,Medium,Request,Resolved,Pacífico,Partners,48,170.0,0
917,2025-09-08,2025-09-09 23:00:00,Medium,Incident,Closed,Orinoquía,Retail,48,47.0,1
918,2025-06-28,2025-06-28 21:00:00,Low,Incident,Closed,Pacífico,Ecommerce,72,21.0,1
919,2024-12-31,2025-01-01 19:00:00,Low,Incident,Resolved,Pacífico,Retail,72,43.0,1
920,2024-04-15,2024-04-16 18:00:00,Medium,Incident,Resolved,Caribe,Partners,48,42.0,1
921,2025-02-22,2025-02-28 10:00:00,Low,Request,In Progress,Orinoquía,Partners,72,154.0,0
922,2024-01-09,2024-01-17 00:00:00,Low,Incident,Closed,Pacífico,Ecommerce,72,192.0,0
923,2025-09-17,2025-09-23 18:00:00,Critical,Request,Resolved,Andina,Partners,24,162.0,0
924,2024-09-08,2024-09-08 12:00:00,Low,Incident,Closed,Pacífico,Ecommerce,72,12.0,1
925,2025-04-20,2025-04-26 02:00:00,High,Incident,Closed,Caribe,Retail,24,146.0,0
926,2025-07-17,2025-07-25 07:00:00,Low,Incident,Closed,Caribe,Retail,72,199.0,0
927,2024-08-18,2024-08-18 03:00:00,Low,Request,Open,Amazonía,Partners,72,3.0,1
928,2024-06-08,2024-06-10 05:00:00,Low,Request,Resolved,Amazonía,Retail,72,53.0,1
929,2024-03-12,2024-03-17 17:00:00,High,Incident,Closed,Andina,Partners,24,137.0,0
930,2024-11-14,2024-11-18 23:00:00,Low,Incident,Closed,Caribe,Ecommerce,72,119.0,0
931,2025-07-22,2025-07-23 09:00:00,Medium,Incident,Closed,Pacífico,Partners,48,33.0,1
932,2024-05-19,2024-05-21 19:00:00,Medium,Request,Closed,Pacífico,Partners,48,67.0,0
933,2025-02-03,2025-02-05 06:00:00,Medium,Incident,Resolved,Amazonía,Retail,48,54.0,0
934,2024-07-01,2024-07-02 07:00:00,Low,Incident,Resolved,Caribe,Partners,72,31.0,1
935,2025-01-01,2025-01-03 23:00:00,Medium,Incident,In Progress,Orinoquía,Retail,48,71.0,0
936,2024-02-10,2024-02-12 07:00:00,Low,Incident,Closed,Andina,Retail,72,55.0,1
937,2025-08-29,2025-09-02 14:00:00,Low,Incident,In Progress,Orinoquía,Partners,72,110.0,0
938,2025-06-28,2025-07-01 18:00:00,Low,Request,Resolved,Andina,Retail,72,90.0,0
939,2025-06-08,2025-06-11 01:00:00,Low,Request,Closed,Amazonía,Retail,72,73.0,0
940,2024-05-02,2024-05-03 20:00:00,Low,Request,In Progress,Andina,Ecommerce,72,44.0,1
941,2024-12-08,2024-12-12 04:00:00,High,Incident,Closed,Caribe,Ecommerce,24,100.0,0
942,2025-02-03,2025-02-10 08:00:00,High,Change,Closed,Andina,Retail,24,176.0,0
943,2024-11-01,2024-11-04 07:00:00,Medium,Request,Closed,Andina,Partners,48,79.0,0
944,2024-11-19,2024-11-24 05:00:00,Medium,Request,Closed,Orinoquía,Ecommerce,48,125.0,0
945,2025-09-25,2025-09-25 06:00:00,High,Request,Resolved,Andina,Ecommerce,24,6.0,1
946,2024-12-21,2024-12-29 02:00:00,Low,Incident,Closed,Andina,Retail,72,194.0,0
947,2024-12-23,2024-12-29 22:00:00,Low,Incident,Resolved,Andina,Retail,72,166.0,0
948,2024-05-04,2024-05-04 10:00:00,Medium,Request,Resolved,Amazonía,Partners,48,10.0,1
949,2025-08-09,2025-08-09 21:00:00,Medium,Request,Closed,Orinoquía,Retail,48,21.0,1
950,2025-04-12,2025-04-18 22:00:00,Low,Request,Closed,Orinoquía,Retail,72,166.0,0
951,2025-01-11,2025-01-14 14:00:00,Medium,Request,Closed,Andina,Ecommerce,48,86.0,0
952,2024-04-02,2024-04-04 05:00:00,Low,Request,Closed,Andina,Partners,72,53.0,1
953,2024-04-10,2024-04-10 06:00:00,High,Request,Resolved,Pacífico,Ecommerce,24,6.0,1
954,2024-11-07,2024-11-14 06:00:00,Medium,Incident,Resolved,Orinoquía,Ecommerce,48,174.0,0
955,2024-10-04,2024-10-09 17:00:00,High,Incident,Closed,Caribe,Ecommerce,24,137.0,0
956,2025-05-22,2025-05-30 03:00:00,Medium,Incident,In Progress,Orinoquía,Partners,48,195.0,0
957,2024-01-29,2024-02-04 02:00:00,High,Incident,Resolved,Amazonía,Ecommerce,24,146.0,0
958,2024-04-12,2024-04-15 09:00:00,Medium,Request,Closed,Orinoquía,Partners,48,81.0,0
959,2024-10-04,2024-10-07 02:00:00,Medium,Incident,Resolved,Caribe,Partners,48,74.0,0
960,2024-10-31,2024-11-06 19:00:00,Low,Request,Closed,Amazonía,Partners,72,163.0,0
961,2024-12-01,2024-12-05 22:00:00,Low,Request,Resolved,Pacífico,Ecommerce,72,118.0,0
962,2025-01-08,2025-01-10 04:00:00,High,Change,Resolved,Orinoquía,Partners,24,52.0,0
963,2024-04-18,2024-04-20 21:00:00,Low,Incident,Resolved,Andina,Retail,72,69.0,1
964,2025-07-08,2025-07-11 19:00:00,Medium,Request,Resolved,Amazonía,Ecommerce,48,91.0,0
965,2024-11-12,2024-11-18 17:00:00,Low,Request,Closed,Amazonía,Retail,72,161.0,0
966,2025-06-19,2025-06-21 14:00:00,Medium,Change,Resolved,Pacífico,Retail,48,62.0,0
967,2025-01-16,2025-01-22 20:00:00,High,Request,In Progress,Amazonía,Partners,24,164.0,0
968,2025-08-09,2025-08-12 21:00:00,Low,Request,Resolved,Caribe,Partners,72,93.0,0
969,2025-08-21,2025-08-29 02:00:00,Low,Request,Resolved,Amazonía,Ecommerce,72,194.0,0
970,2024-06-28,2024-07-04 07:00:00,Low,Incident,Open,Pacífico,Ecommerce,72,151.0,0
971,2025-04-18,2025-04-19 20:00:00,Low,Change,Closed,Amazonía,Retail,72,44.0,1
972,2024-05-26,2024-05-28 17:00:00,Medium,Incident,Closed,Orinoquía,Partners,48,65.0,0
973,2024-04-15,2024-04-22 22:00:00,Low,Change,In Progress,Orinoquía,Partners,72,190.0,0
974,2024-10-10,2024-10-17 17:00:00,Medium,Incident,In Progress,Pacífico,Partners,48,185.0,0
975,2025-03-07,2025-03-12 22:00:00,Medium,Incident,Closed,Orinoquía,Ecommerce,48,142.0,0
976,2025-05-10,2025-05-15 21:00:00,Low,Request,Closed,Andina,Partners,72,141.0,0
977,2025-08-18,2025-08-23 11:00:00,Medium,Incident,Resolved,Orinoquía,Retail,48,131.0,0
978,2024-04-02,2024-04-07 13:00:00,Medium,Incident,Resolved,Caribe,Partners,48,133.0,0
979,2025-08-02,2025-08-07 18:00:00,Low,Request,Resolved,Caribe,Retail,72,138.0,0
980,2025-03-01,2025-03-03 11:00:00,Medium,Incident,Closed,Caribe,Retail,48,59.0,0
981,2025-01-09,2025-01-11 00:00:00,Low,Incident,Closed,Pacífico,Retail,72,48.0,1
982,2024-03-28,2024-04-04 21:00:00,Medium,Request,Open,Andina,Partners,48,189.0,0
983,2025-03-28,2025-03-29 17:00:00,Medium,Request,Closed,Caribe,Partners,48,41.0,1
984,2025-02-21,2025-02-27 03:00:00,Medium,Incident,Closed,Pacífico,Retail,48,147.0,0
985,2025-03-28,2025-04-03 21:00:00,Low,Change,Resolved,Amazonía,Retail,72,165.0,0
986,2024-04-28,2024-04-28 12:00:00,Medium,Request,Resolved,Orinoquía,Ecommerce,48,12.0,1
987,2025-01-17,2025-01-22 08:00:00,Medium,Incident,Closed,Orinoquía,Retail,48,128.0,0
988,2024-07-06,2024-07-13 14:00:00,Low,Incident,Resolved,Orinoquía,Ecommerce,72,182.0,0
989,2024-01-08,2024-01-14 14:00:00,High,Incident,Open,Caribe,Retail,24,158.0,0
990,2025-07-03,2025-07-10 18:00:00,Medium,Request,Closed,Andina,Retail,48,186.0,0
991,2024-07-15,2024-07-23 02:00:00,Low,Incident,Resolved,Caribe,Partners,72,194.0,0
992,2025-03-29,2025-04-06 03:00:00,Low,Incident,Closed,Orinoquía,Ecommerce,72,195.0,0
993,2025-02-17,2025-02-20 06:00:00,High,Incident,Resolved,Amazonía,Retail,24,78.0,0
994,2024-10-29,2024-11-03 02:00:00,Low,Incident,Resolved,Orinoquía,Ecommerce,72,122.0,0
995,2024-05-02,2024-05-02 03:00:00,Medium,Request,Closed,Caribe,Retail,48,3.0,1
996,2025-08-21,2025-08-22 16:00:00,High,Incident,Closed,Caribe,Retail,24,40.0,0
997,2025-05-24,2025-05-31 15:00:00,High,Incident,Closed,Caribe,Ecommerce,24,183.0,0
998,2025-02-03,2025-02-07 18:00:00,Low,Incident,Resolved,Pacífico,Retail,72,114.0,0
999,2025-08-07,2025-08-15 05:00:00,Low,Request,Resolved,Andina,Partners,72,197.0,0
1000,2025-02-18,2025-02-23 11:00:00,Low,Incident,Closed,Andina,Partners,72,131.0,0
1001,2024-05-13,2024-05-21 05:00:00,Medium,Change,Closed,Andina,Partners,48,197.0,0
1002,2024-07-22,2024-07-24 19:00:00,Low,Request,Resolved,Andina,Retail,72,67.0,1
1003,2025-07-16,2025-07-22 04:00:00,Low,Request,Resolved,Caribe,Retail,72,148.0,0
1004,2024-08-04,2024-08-12 02:00:00,Medium,Request,Resolved,Amazonía,Retail,48,194.0,0
1005,2025-09-18,2025-09-24 19:00:00,Medium,Incident,Resolved,Pacífico,Retail,48,163.0,0
1006,2024-09-23,2024-09-27 15:00:00,Medium,Request,In Progress,Pacífico,Ecommerce,48,111.0,0
1007,2025-01-09,2025-01-09 15:00:00,High,Request,Resolved,Andina,Retail,24,15.0,1
1008,2024-05-30,2024-06-02 11:00:00,Medium,Request,In Progress,Orinoquía,Ecommerce,48,83.0,0
1009,2024-03-01,2024-03-02 11:00:00,Low,Incident,Closed,Andina,Ecommerce,72,35.0,1
1010,2024-08-30,2024-09-02 06:00:00,Medium,Incident,Closed,Amazonía,Partners,48,78.0,0
1011,2024-09-26,2024-10-03 19:00:00,High,Change,Resolved,Amazonía,Retail,24,187.0,0
1012,2025-01-28,2025-01-31 17:00:00,Low,Request,In Progress,Caribe,Ecommerce,72,89.0,0
1013,2024-01-14,2024-01-19 03:00:00,Medium,Change,Resolved,Caribe,Retail,48,123.0,0
1014,2024-04-07,2024-04-07 19:00:00,High,Change,In Progress,Amazonía,Partners,24,19.0,1
1015,2024-09-21,2024-09-21 19:00:00,Low,Request,Resolved,Orinoquía,Partners,72,19.0,1
1016,2025-04-01,2025-04-04 14:00:00,Low,Change,Closed,Amazonía,Partners,72,86.0,0
1017,2025-02-04,2025-02-07 15:00:00,Low,Incident,Closed,Andina,Partners,72,87.0,0
1018,2025-09-18,2025-09-23 19:00:00,Medium,Incident,Open,Caribe,Partners,48,139.0,0
1019,2024-08-17,2024-08-24 08:00:00,Low,Incident,Resolved,Pacífico,Ecommerce,72,176.0,0
1020,2024-01-02,2024-01-05 00:00:00,Medium,Request,Resolved,Andina,Retail,48,72.0,0
1021,2024-12-04,2024-12-05 19:00:00,Low,Change,Closed,Caribe,Ecommerce,72,43.0,1
1022,2024-03-02,2024-03-05 00:00:00,High,Change,In Progress,Andina,Partners,24,72.0,0
1023,2024-02-13,2024-02-18 03:00:00,High,Incident,Closed,Pacífico,Retail,24,123.0,0
1024,2024-11-30,2024-12-01 02:00:00,High,Incident,In Progress,Caribe,Partners,24,26.0,0
1025,2024-03-28,2024-03-28 23:00:00,Medium,Incident,Closed,Caribe,Partners,48,23.0,1
1026,2025-07-13,2025-07-13 21:00:00,High,Request,Resolved,Caribe,Ecommerce,24,21.0,1
1027,2025-04-26,2025-05-02 09:00:00,Medium,Incident,Closed,Orinoquía,Ecommerce,48,153.0,0
1028,2025-07-05,2025-07-06 16:00:00,Medium,Request,Resolved,Pacífico,Retail,48,40.0,1
1029,2025-01-03,2025-01-06 21:00:00,Low,Incident,Closed,Andina,Retail,72,93.0,0
1030,2024-02-18,2024-02-22 13:00:00,Critical,Request,Open,Andina,Partners,24,109.0,0
1031,2024-08-15,2024-08-17 17:00:00,High,Request,Resolved,Andina,Retail,24,65.0,0
1032,2025-07-23,2025-07-30 07:00:00,Critical,Request,Resolved,Pacífico,Ecommerce,24,175.0,0
1033,2025-02-11,2025-02-16 14:00:00,Medium,Request,Resolved,Amazonía,Retail,48,134.0,0
1034,2024-08-10,2024-08-13 08:00:00,Low,Incident,Closed,Pacífico,Retail,72,80.0,0
1035,2024-05-06,2024-05-11 17:00:00,Low,Incident,In Progress,Amazonía,Ecommerce,72,137.0,0
1036,2024-01-06,2024-01-11 15:00:00,Low,Request,Closed,Orinoquía,Partners,72,135.0,0
1037,2025-04-11,2025-04-15 18:00:00,High,Incident,In Progress,Orinoquía,Retail,24,114.0,0
1038,2024-05-23,2024-05-29 00:00:00,Medium,Change,Closed,Pacífico,Partners,48,144.0,0
1039,2024-11-09,2024-11-11 15:00:00,High,Incident,Closed,Pacífico,Partners,24,63.0,0
1040,2024-12-28,2025-01-04 18:00:00,Low,Incident,Resolved,Andina,Ecommerce,72,186.0,0
1041,2024-09-04,2024-09-06 05:00:00,Low,Incident,Open,Andina,Retail,72,53.0,1
1042,2025-04-02,2025-04-07 14:00:00,Low,Incident,Resolved,Amazonía,Retail,72,134.0,0
1043,2025-07-18,2025-07-24 00:00:00,Low,Request,Closed,Orinoquía,Partners,72,144.0,0
1044,2024-04-14,2024-04-17 08:00:00,High,Request,In Progress,Andina,Partners,24,80.0,0
1045,2024-05-26,2024-05-27 14:00:00,Medium,Request,Resolved,Pacífico,Ecommerce,48,38.0,1
1046,2025-03-26,2025-04-01 10:00:00,Low,Incident,In Progress,Pacífico,Ecommerce,72,154.0,0
1047,2024-06-22,2024-06-23 21:00:00,Critical,Request,In Progress,Caribe,Partners,24,45.0,0
1048,2024-02-27,2024-02-28 08:00:00,Low,Incident,Closed,Andina,Ecommerce,72,32.0,1
1049,2024-10-22,2024-10-22 12:00:00,Low,Incident,Resolved,Caribe,Partners,72,12.0,1
1050,2024-09-30,2024-10-05 04:00:00,High,Incident,Closed,Andina,Retail,24,124.0,0
1051,2024-03-24,2024-03-29 21:00:00,Medium,Incident,In Progress,Orinoquía,Partners,48,141.0,0
1052,2025-08-23,2025-08-27 23:00:00,Medium,Change,Resolved,Caribe,Partners,48,119.0,0
1053,2024-09-10,2024-09-13 02:00:00,Medium,Request,Resolved,Andina,Retail,48,74.0,0
1054,2024-01-07,2024-01-08 07:00:00,Medium,Incident,Closed,Pacífico,Ecommerce,48,31.0,1
1055,2025-03-24,2025-03-26 02:00:00,Medium,Request,Closed,Pacífico,Partners,48,50.0,0
1056,2024-01-31,2024-02-06 06:00:00,Low,Incident,Resolved,Andina,Partners,72,150.0,0
1057,2025-03-25,2025-03-28 02:00:00,Low,Incident,Resolved,Amazonía,Ecommerce,72,74.0,0
1058,2025-07-25,2025-07-29 08:00:00,Low,Request,In Progress,Orinoquía,Partners,72,104.0,0
1059,2024-01-10,2024-01-10 20:00:00,Medium,Request,Closed,Caribe,Retail,48,20.0,1
1060,2025-06-19,2025-06-22 23:00:00,Medium,Incident,Resolved,Orinoquía,Retail,48,95.0,0
1061,2024-07-08,2024-07-15 23:00:00,Medium,Request,Closed,Caribe,Partners,48,191.0,0
1062,2025-06-19,2025-06-19 09:00:00,Medium,Request,Closed,Pacífico,Partners,48,9.0,1
1063,2024-01-06,2024-01-09 02:00:00,Medium,Request,Resolved,Caribe,Ecommerce,48,74.0,0
1064,2024-09-19,2024-09-19 12:00:00,Low,Change,Closed,Caribe,Ecommerce,72,12.0,1
1065,2024-02-11,2024-02-16 17:00:00,Medium,Incident,Closed,Caribe,Retail,48,137.0,0
1066,2024-03-23,2024-03-28 05:00:00,Medium,Incident,Resolved,Orinoquía,Retail,48,125.0,0
1067,2025-01-24,2025-01-24 20:00:00,Low,Incident,Closed,Andina,Partners,72,20.0,1
1068,2025-09-26,2025-09-27 12:00:00,Low,Request,Closed,Andina,Ecommerce,72,36.0,1
1069,2024-07-31,2024-08-07 19:00:00,Low,Request,Closed,Amazonía,Partners,72,187.0,0
1070,2024-01-26,2024-02-01 05:00:00,Medium,Incident,Resolved,Amazonía,Retail,48,149.0,0
1071,2025-03-20,2025-03-23 20:00:00,Low,Incident,Resolved,Orinoquía,Retail,72,92.0,0
1072,2024-08-15,2024-08-16 15:00:00,Medium,Change,Closed,Amazonía,Ecommerce,48,39.0,1
1073,2025-02-20,2025-02-25 17:00:00,Medium,Incident,Closed,Pacífico,Ecommerce,48,137.0,0
1074,2025-07-23,2025-07-24 14:00:00,Low,Incident,Resolved,Pacífico,Retail,72,38.0,1
1075,2024-06-05,2024-06-09 15:00:00,Medium,Incident,In Progress,Caribe,Retail,48,111.0,0
1076,2025-07-05,2025-07-11 17:00:00,Low,Incident,Closed,Andina,Ecommerce,72,161.0,0
1077,2024-09-23,2024-10-01 04:00:00,High,Request,In Progress,Caribe,Retail,24,196.0,0
1078,2024-03-13,2024-03-19 01:00:00,High,Request,Resolved,Amazonía,Retail,24,145.0,0
1079,2025-04-03,2025-04-08 13:00:00,High,Request,Closed,Amazonía,Ecommerce,24,133.0,0
1080,2025-05-25,2025-05-28 10:00:00,Low,Request,Closed,Orinoquía,Ecommerce,72,82.0,0
1081,2024-02-23,2024-02-25 10:00:00,Low,Request,Closed,Orinoquía,Retail,72,58.0,1
1082,2024-08-10,2024-08-10 08:00:00,High,Request,Resolved,Andina,Ecommerce,24,8.0,1
1083,2024-05-03,2024-05-09 08:00:00,Medium,Request,Resolved,Andina,Ecommerce,48,152.0,0
1084,2025-03-07,2025-03-08 12:00:00,Medium,Change,Closed,Caribe,Retail,48,36.0,1
1085,2024-07-11,2024-07-18 10:00:00,Medium,Request,Closed,Caribe,Partners,48,178.0,0
1086,2024-08-22,2024-08-24 03:00:00,Low,Incident,Resolved,Andina,Ecommerce,72,51.0,1
1087,2024-02-13,2024-02-19 20:00:00,Medium,Change,Closed,Orinoquía,Partners,48,164.0,0
1088,2024-08-07,2024-08-07 14:00:00,Medium,Incident,Resolved,Pacífico,Retail,48,14.0,1
1089,2025-01-28,2025-02-03 13:00:00,High,Request,Closed,Pacífico,Retail,24,157.0,0
1090,2025-07-19,2025-07-24 06:00:00,High,Incident,In Progress,Pacífico,Partners,24,126.0,0
1091,2024-09-05,2024-09-06 18:00:00,Low,Request,Closed,Amazonía,Partners,72,42.0,1
1092,2025-02-28,2025-03-02 17:00:00,Low,Request,Closed,Caribe,Partners,72,65.0,1
1093,2024-12-12,2024-12-20 07:00:00,Medium,Incident,Resolved,Amazonía,Ecommerce,48,199.0,0
1094,2024-11-19,2024-11-26 11:00:00,Medium,Request,Closed,Amazonía,Retail,48,179.0,0
1095,2025-02-19,2025-02-22 11:00:00,Medium,Incident,Closed,Caribe,Partners,48,83.0,0
1096,2024-04-13,2024-04-20 15:00:00,Low,Request,Closed,Caribe,Retail,72,183.0,0
1097,2024-05-22,2024-05-22 05:00:00,Medium,Request,Resolved,Amazonía,Partners,48,5.0,1
1098,2024-05-24,2024-05-29 14:00:00,High,Request,Open,Pacífico,Partners,24,134.0,0
1099,2024-09-24,2024-09-29 14:00:00,Medium,Incident,Closed,Caribe,Ecommerce,48,134.0,0
1100,2024-04-18,2024-04-18 04:00:00,Medium,Incident,Resolved,Orinoquía,Partners,48,4.0,1
1101,2025-05-12,2025-05-19 07:00:00,High,Incident,Resolved,Amazonía,Retail,24,175.0,0
1102,2024-12-04,2024-12-10 05:00:00,Low,Request,Resolved,Orinoquía,Partners,72,149.0,0
1103,2025-06-07,2025-06-07 06:00:00,High,Request,Resolved,Pacífico,Ecommerce,24,6.0,1
1104,2025-04-06,2025-04-06 04:00:00,High,Incident,Resolved,Amazonía,Partners,24,4.0,1
1105,2025-06-07,2025-06-10 22:00:00,High,Request,Closed,Caribe,Retail,24,94.0,0
1106,2025-09-19,2025-09-19 19:00:00,Low,Incident,In Progress,Pacífico,Partners,72,19.0,1
1107,2024-06-26,2024-06-29 14:00:00,Low,Request,Closed,Pacífico,Retail,72,86.0,0
1108,2024-07-22,2024-07-28 21:00:00,Medium,Request,Closed,Amazonía,Ecommerce,48,165.0,0
1109,2024-01-10,2024-01-10 17:00:00,Medium,Incident,Open,Orinoquía,Ecommerce,48,17.0,1
1110,2025-05-19,2025-05-22 08:00:00,Medium,Incident,Closed,Andina,Partners,48,80.0,0
1111,2025-07-13,2025-07-16 04:00:00,Low,Request,Resolved,Amazonía,Partners,72,76.0,0
1112,2024-11-19,2024-11-20 19:00:00,Low,Request,Resolved,Orinoquía,Ecommerce,72,43.0,1
1113,2024-03-14,2024-03-15 18:00:00,Medium,Incident,Resolved,Orinoquía,Ecommerce,48,42.0,1
1114,2025-04-13,2025-04-17 17:00:00,Medium,Request,Closed,Amazonía,Partners,48,113.0,0
1115,2025-03-22,2025-03-29 22:00:00,Medium,Request,Closed,Orinoquía,Partners,48,190.0,0
1116,2024-10-07,2024-10-13 12:00:00,Low,Request,Closed,Orinoquía,Retail,72,156.0,0
1117,2024-11-23,2024-11-26 05:00:00,Low,Request,Closed,Orinoquía,Ecommerce,72,77.0,0
1118,2024-06-25,2024-06-27 19:00:00,Low,Request,Closed,Pacífico,Partners,72,67.0,1
1119,2024-02-05,2024-02-09 16:00:00,Low,Change,Resolved,Amazonía,Ecommerce,72,112.0,0
1120,2024-06-08,2024-06-15 15:00:00,Medium,Incident,Resolved,Pacífico,Retail,48,183.0,0
1121,2024-03-12,2024-03-13 09:00:00,Low,Change,Closed,Pacífico,Ecommerce,72,33.0,1
1122,2024-07-31,2024-08-07 15:00:00,Low,Request,In Progress,Caribe,Retail,72,183.0,0
1123,2024-10-07,2024-10-11 21:00:00,High,Incident,Resolved,Pacífico,Retail,24,117.0,0
1124,2024-09-01,2024-09-05 12:00:00,High,Incident,Closed,Orinoquía,Retail,24,108.0,0
1125,2025-01-09,2025-01-13 03:00:00,Low,Request,Resolved,Caribe,Retail,72,99.0,0
